'Elapsed time','ECG 1','ECG 2','ECG 3','ECG 4'
'hh:mm:ss.mmm','mV','mV','mV','mV'
'0:02.754',-0.290,-0.010,0.160,0.290
'0:02.756',-0.270,-0.040,0.140,0.280
'0:02.758',-0.270,-0.070,0.130,0.270
'0:02.760',-0.270,-0.080,0.120,0.260
'0:02.762',-0.270,-0.060,0.130,0.270
'0:02.764',-0.280,-0.020,0.150,0.300
'0:02.766',-0.280,0.000,0.150,0.300
'0:02.768',-0.280,0.000,0.150,0.290
'0:02.770',-0.270,0.000,0.150,0.280
'0:02.772',-0.260,-0.020,0.140,0.270
'0:02.774',-0.250,-0.050,0.130,0.250
'0:02.776',-0.250,-0.040,0.130,0.250
'0:02.778',-0.250,-0.030,0.140,0.260
'0:02.780',-0.250,-0.020,0.140,0.250
'0:02.782',-0.220,-0.010,0.140,0.250
'0:02.784',-0.210,0.000,0.130,0.240
'0:02.786',-0.200,0.000,0.130,0.240
'0:02.788',-0.200,0.000,0.110,0.250
'0:02.790',-0.200,0.000,0.110,0.270
'0:02.792',-0.220,0.000,0.100,0.280
'0:02.794',-0.210,0.000,0.080,0.270
'0:02.796',-0.200,-0.010,0.080,0.250
'0:02.798',-0.180,-0.020,0.080,0.240
'0:02.800',-0.180,-0.020,0.080,0.230
'0:02.802',-0.200,-0.010,0.070,0.230
'0:02.804',-0.210,0.000,0.090,0.260
'0:02.806',-0.230,0.010,0.120,0.290
'0:02.808',-0.230,0.000,0.120,0.280
'0:02.810',-0.190,-0.030,0.100,0.250
'0:02.812',-0.160,-0.050,0.100,0.250
'0:02.814',-0.140,-0.060,0.110,0.250
'0:02.816',-0.140,-0.050,0.110,0.240
'0:02.818',-0.140,-0.040,0.120,0.250
'0:02.820',-0.150,-0.030,0.130,0.290
'0:02.822',-0.150,-0.020,0.150,0.310
'0:02.824',-0.140,-0.040,0.150,0.310
'0:02.826',-0.120,-0.050,0.160,0.290
'0:02.828',-0.110,-0.060,0.140,0.290
'0:02.830',-0.100,-0.060,0.110,0.290
'0:02.832',-0.090,-0.040,0.120,0.300
'0:02.834',-0.110,-0.020,0.130,0.320
'0:02.836',-0.110,-0.010,0.120,0.320
'0:02.838',-0.110,-0.020,0.120,0.310
'0:02.840',-0.100,-0.040,0.120,0.310
'0:02.842',-0.110,-0.050,0.110,0.300
'0:02.844',-0.110,-0.060,0.100,0.300
'0:02.846',-0.100,-0.050,0.110,0.300
'0:02.848',-0.100,-0.020,0.120,0.320
'0:02.850',-0.100,0.000,0.120,0.320
'0:02.852',-0.100,0.000,0.130,0.320
'0:02.854',-0.100,0.000,0.120,0.310
'0:02.856',-0.100,-0.010,0.120,0.300
'0:02.858',-0.090,-0.020,0.120,0.300
'0:02.860',-0.090,-0.020,0.100,0.290
'0:02.862',-0.090,0.000,0.110,0.290
'0:02.864',-0.080,0.000,0.110,0.280
'0:02.866',-0.070,0.000,0.120,0.280
'0:02.868',-0.060,0.010,0.130,0.270
'0:02.870',-0.070,0.010,0.140,0.260
'0:02.872',-0.060,0.000,0.140,0.250
'0:02.874',-0.070,0.000,0.130,0.260
'0:02.876',-0.080,0.000,0.130,0.270
'0:02.878',-0.070,0.000,0.120,0.260
'0:02.880',-0.060,-0.010,0.100,0.260
'0:02.882',-0.060,-0.020,0.090,0.260
'0:02.884',-0.060,-0.010,0.090,0.250
'0:02.886',-0.070,-0.010,0.080,0.260
'0:02.888',-0.070,0.000,0.080,0.270
'0:02.890',-0.080,0.000,0.080,0.280
'0:02.892',-0.080,0.000,0.070,0.280
'0:02.894',-0.070,-0.010,0.060,0.270
'0:02.896',-0.070,-0.020,0.050,0.270
'0:02.898',-0.070,-0.010,0.040,0.270
'0:02.900',-0.070,0.000,0.040,0.270
'0:02.902',-0.070,0.010,0.050,0.280
'0:02.904',-0.080,0.030,0.070,0.290
'0:02.906',-0.070,0.020,0.080,0.290
'0:02.908',-0.070,0.020,0.080,0.260
'0:02.910',-0.070,0.010,0.080,0.240
'0:02.912',-0.060,0.000,0.070,0.230
'0:02.914',-0.050,0.000,0.070,0.240
'0:02.916',-0.070,0.010,0.080,0.240
'0:02.918',-0.090,0.050,0.120,0.270
'0:02.920',-0.080,0.060,0.120,0.260
'0:02.922',-0.070,0.040,0.110,0.240
'0:02.924',-0.060,0.010,0.090,0.220
'0:02.926',-0.060,0.000,0.090,0.200
'0:02.928',-0.060,-0.010,0.090,0.180
'0:02.930',-0.060,0.000,0.080,0.190
'0:02.932',-0.070,0.030,0.080,0.200
'0:02.934',-0.050,0.050,0.090,0.180
'0:02.936',-0.050,0.040,0.090,0.170
'0:02.938',-0.040,0.020,0.070,0.160
'0:02.940',-0.040,-0.010,0.050,0.170
'0:02.942',-0.040,-0.020,0.060,0.170
'0:02.944',-0.030,-0.020,0.070,0.170
'0:02.946',-0.050,0.000,0.070,0.180
'0:02.948',-0.030,0.010,0.050,0.190
'0:02.950',-0.030,0.020,0.030,0.190
