'Elapsed time','ECG 1','ECG 2','ECG 3','ECG 4'
'hh:mm:ss.mmm','mV','mV','mV','mV'
'0:00.340',0.000,0.050,-0.220,0.280
'0:00.342',0.000,0.030,-0.230,0.270
'0:00.344',0.000,0.020,-0.240,0.250
'0:00.346',0.010,0.040,-0.210,0.270
'0:00.348',0.000,0.090,-0.180,0.300
'0:00.350',0.000,0.110,-0.170,0.290
'0:00.352',0.020,0.110,-0.170,0.280
'0:00.354',0.030,0.100,-0.180,0.270
'0:00.356',0.040,0.070,-0.170,0.250
'0:00.358',0.050,0.060,-0.170,0.220
'0:00.360',0.040,0.070,-0.190,0.220
'0:00.362',0.050,0.080,-0.170,0.230
'0:00.364',0.070,0.090,-0.150,0.230
'0:00.366',0.090,0.090,-0.150,0.220
'0:00.368',0.100,0.090,-0.150,0.210
'0:00.370',0.100,0.090,-0.160,0.210
'0:00.372',0.100,0.080,-0.160,0.200
'0:00.374',0.080,0.100,-0.150,0.210
'0:00.376',0.050,0.120,-0.130,0.230
'0:00.378',0.050,0.120,-0.150,0.220
'0:00.380',0.080,0.110,-0.170,0.200
'0:00.382',0.090,0.110,-0.180,0.180
'0:00.384',0.090,0.110,-0.180,0.160
'0:00.386',0.100,0.110,-0.180,0.160
'0:00.388',0.090,0.120,-0.180,0.180
'0:00.390',0.060,0.130,-0.170,0.200
'0:00.392',0.060,0.100,-0.160,0.190
'0:00.394',0.070,0.080,-0.160,0.160
'0:00.396',0.100,0.080,-0.170,0.150
'0:00.398',0.110,0.080,-0.180,0.140
'0:00.400',0.130,0.090,-0.180,0.120
'0:00.402',0.130,0.100,-0.170,0.120
'0:00.404',0.130,0.130,-0.150,0.130
'0:00.406',0.140,0.130,-0.150,0.130
'0:00.408',0.130,0.120,-0.150,0.110
'0:00.410',0.120,0.100,-0.150,0.090
'0:00.412',0.120,0.080,-0.150,0.090
'0:00.414',0.140,0.070,-0.150,0.090
'0:00.416',0.140,0.080,-0.150,0.090
'0:00.418',0.120,0.110,-0.140,0.110
'0:00.420',0.120,0.110,-0.170,0.090
'0:00.422',0.120,0.080,-0.210,0.030
'0:00.424',0.120,0.050,-0.270,-0.020
'0:00.426',0.130,0.030,-0.330,-0.090
'0:00.428',0.160,0.000,-0.390,-0.160
'0:00.430',0.170,-0.010,-0.440,-0.200
'0:00.432',0.170,0.010,-0.420,-0.190
'0:00.434',0.180,0.060,-0.330,-0.140
'0:00.436',0.180,0.140,-0.140,-0.030
'0:00.438',0.170,0.270,0.130,0.130
'0:00.440',0.190,0.460,0.480,0.340
'0:00.442',0.280,0.740,0.920,0.550
'0:00.444',0.400,1.100,1.420,0.790
'0:00.446',0.520,1.510,1.960,1.060
'0:00.448',0.660,1.940,2.530,1.350
'0:00.450',0.790,2.370,3.100,1.660
'0:00.452',0.900,2.820,3.680,1.970
'0:00.454',0.990,3.240,4.210,2.250
'0:00.456',1.060,3.590,4.630,2.470
'0:00.458',1.100,3.830,4.880,2.610
'0:00.460',1.100,3.950,4.970,2.690
'0:00.462',1.040,3.910,4.900,2.690
'0:00.464',0.910,3.660,4.610,2.600
'0:00.466',0.670,3.180,4.090,2.430
'0:00.468',0.370,2.560,3.420,2.190
'0:00.470',0.110,1.940,2.730,1.920
'0:00.472',-0.040,1.440,2.120,1.640
'0:00.474',-0.140,1.040,1.600,1.360
'0:00.476',-0.190,0.700,1.150,1.090
'0:00.478',-0.220,0.430,0.750,0.840
'0:00.480',-0.230,0.200,0.420,0.630
'0:00.482',-0.230,0.030,0.130,0.430
'0:00.484',-0.220,-0.090,-0.090,0.260
'0:00.486',-0.220,-0.200,-0.290,0.130
'0:00.488',-0.210,-0.300,-0.450,0.040
'0:00.490',-0.190,-0.390,-0.580,-0.050
'0:00.492',-0.170,-0.470,-0.690,-0.150
'0:00.494',-0.140,-0.530,-0.800,-0.220
'0:00.496',-0.110,-0.570,-0.870,-0.280
'0:00.498',-0.070,-0.610,-0.920,-0.330
'0:00.500',-0.050,-0.600,-0.950,-0.370
'0:00.502',-0.070,-0.570,-0.960,-0.370
'0:00.504',-0.060,-0.570,-0.990,-0.390
'0:00.506',-0.030,-0.600,-1.010,-0.440
'0:00.508',-0.020,-0.640,-1.020,-0.480
'0:00.510',0.000,-0.670,-1.040,-0.500
'0:00.512',0.000,-0.690,-1.040,-0.510
'0:00.514',0.020,-0.680,-1.020,-0.510
'0:00.516',0.020,-0.630,-1.010,-0.500
'0:00.518',0.020,-0.610,-1.000,-0.500
'0:00.520',0.020,-0.600,-0.990,-0.510
'0:00.522',0.020,-0.600,-0.980,-0.520
'0:00.524',0.010,-0.610,-0.970,-0.530
'0:00.526',0.010,-0.620,-0.970,-0.540
'0:00.528',0.010,-0.610,-0.950,-0.530
'0:00.530',0.000,-0.560,-0.920,-0.500
'0:00.532',0.000,-0.530,-0.910,-0.490
'0:00.534',0.000,-0.530,-0.880,-0.490
'0:00.536',0.000,-0.530,-0.860,-0.500
'0:00.538',0.000,-0.520,-0.850,-0.510
'0:00.540',0.000,-0.540,-0.840,-0.510
'0:00.542',0.000,-0.540,-0.830,-0.510
'0:00.544',0.000,-0.510,-0.810,-0.500
'0:00.546',0.010,-0.490,-0.810,-0.510
'0:00.548',0.020,-0.470,-0.810,-0.520
'0:00.550',0.010,-0.450,-0.790,-0.520
'0:00.552',0.000,-0.430,-0.780,-0.510
'0:00.554',0.000,-0.420,-0.770,-0.510
'0:00.556',0.000,-0.410,-0.770,-0.500
'0:00.558',0.000,-0.400,-0.750,-0.490
'0:00.560',0.000,-0.400,-0.750,-0.500
'0:00.562',0.010,-0.400,-0.740,-0.510
'0:00.564',0.010,-0.400,-0.730,-0.510
'0:00.566',0.010,-0.380,-0.710,-0.490
'0:00.568',0.000,-0.360,-0.690,-0.490
'0:00.570',0.010,-0.340,-0.670,-0.470
'0:00.572',0.010,-0.310,-0.650,-0.430
'0:00.574',0.010,-0.310,-0.640,-0.420
'0:00.576',0.020,-0.320,-0.630,-0.440
'0:00.578',0.030,-0.320,-0.650,-0.450
'0:00.580',0.040,-0.320,-0.650,-0.450
'0:00.582',0.060,-0.300,-0.650,-0.450
'0:00.584',0.060,-0.290,-0.640,-0.440
'0:00.586',0.040,-0.260,-0.620,-0.390
'0:00.588',0.040,-0.250,-0.600,-0.380
'0:00.590',0.050,-0.250,-0.600,-0.390
'0:00.592',0.050,-0.260,-0.600,-0.420
'0:00.594',0.060,-0.270,-0.580,-0.440
'0:00.596',0.080,-0.280,-0.590,-0.450
'0:00.598',0.100,-0.260,-0.590,-0.440
'0:00.600',0.100,-0.210,-0.580,-0.440
'0:00.602',0.100,-0.190,-0.570,-0.450
'0:00.604',0.110,-0.210,-0.570,-0.460
'0:00.606',0.130,-0.240,-0.570,-0.490
'0:00.608',0.130,-0.250,-0.560,-0.530
'0:00.610',0.150,-0.260,-0.570,-0.560
'0:00.612',0.170,-0.250,-0.570,-0.570
'0:00.614',0.180,-0.220,-0.540,-0.550
'0:00.616',0.200,-0.190,-0.520,-0.540
'0:00.618',0.220,-0.170,-0.510,-0.550
'0:00.620',0.240,-0.170,-0.510,-0.560
'0:00.622',0.260,-0.160,-0.510,-0.570
'0:00.624',0.270,-0.160,-0.520,-0.600
'0:00.626',0.280,-0.170,-0.530,-0.620
'0:00.628',0.280,-0.150,-0.530,-0.610
'0:00.630',0.280,-0.120,-0.520,-0.600
'0:00.632',0.300,-0.100,-0.520,-0.620
'0:00.634',0.310,-0.090,-0.530,-0.630
'0:00.636',0.320,-0.090,-0.530,-0.640
'0:00.638',0.330,-0.090,-0.540,-0.640
'0:00.640',0.310,-0.090,-0.530,-0.620
'0:00.642',0.280,-0.060,-0.510,-0.590
'0:00.644',0.280,-0.060,-0.500,-0.580
'0:00.646',0.310,-0.070,-0.500,-0.580
'0:00.648',0.330,-0.080,-0.490,-0.590
'0:00.650',0.340,-0.070,-0.490,-0.590
'0:00.652',0.340,-0.070,-0.480,-0.580
'0:00.654',0.340,-0.060,-0.470,-0.550
'0:00.656',0.320,-0.060,-0.460,-0.530
'0:00.658',0.300,-0.080,-0.470,-0.530
'0:00.660',0.290,-0.100,-0.490,-0.540
'0:00.662',0.290,-0.120,-0.500,-0.530
'0:00.664',0.280,-0.130,-0.490,-0.530
'0:00.666',0.260,-0.130,-0.470,-0.520
'0:00.668',0.240,-0.120,-0.450,-0.500
'0:00.670',0.210,-0.100,-0.440,-0.450
'0:00.672',0.190,-0.110,-0.430,-0.410
'0:00.674',0.180,-0.130,-0.430,-0.400
'0:00.676',0.180,-0.140,-0.410,-0.390
'0:00.678',0.170,-0.160,-0.390,-0.380
'0:00.680',0.160,-0.180,-0.360,-0.360
'0:00.682',0.130,-0.170,-0.340,-0.310
'0:00.684',0.070,-0.140,-0.290,-0.250
'0:00.686',0.040,-0.110,-0.250,-0.200
'0:00.688',0.020,-0.120,-0.230,-0.170
'0:00.690',0.000,-0.150,-0.220,-0.160
'0:00.692',-0.020,-0.180,-0.210,-0.160
'0:00.694',-0.040,-0.200,-0.200,-0.140
'0:00.696',-0.070,-0.210,-0.180,-0.090
'0:00.698',-0.110,-0.190,-0.160,-0.040
'0:00.700',-0.120,-0.170,-0.140,-0.010
'0:00.702',-0.130,-0.160,-0.120,0.000
'0:00.704',-0.150,-0.170,-0.100,0.010
'0:00.706',-0.170,-0.180,-0.090,0.030
'0:00.708',-0.180,-0.180,-0.070,0.040
'0:00.710',-0.190,-0.180,-0.040,0.050
'0:00.712',-0.220,-0.160,0.000,0.100
'0:00.714',-0.220,-0.140,0.020,0.130
'0:00.716',-0.210,-0.130,0.030,0.150
'0:00.718',-0.210,-0.130,0.050,0.170
'0:00.720',-0.220,-0.130,0.050,0.170
'0:00.722',-0.220,-0.140,0.040,0.180
'0:00.724',-0.220,-0.150,0.040,0.190
'0:00.726',-0.240,-0.130,0.070,0.210
'0:00.728',-0.250,-0.120,0.080,0.220
'0:00.730',-0.240,-0.120,0.080,0.230
'0:00.732',-0.230,-0.120,0.080,0.240
'0:00.734',-0.220,-0.120,0.100,0.240
'0:00.736',-0.230,-0.120,0.110,0.250
'0:00.738',-0.230,-0.120,0.110,0.270
'0:00.740',-0.240,-0.110,0.100,0.290
'0:00.742',-0.250,-0.110,0.100,0.290
'0:00.744',-0.250,-0.120,0.090,0.270
'0:00.746',-0.230,-0.140,0.090,0.260
'0:00.748',-0.230,-0.140,0.080,0.250
'0:00.750',-0.240,-0.140,0.070,0.240
'0:00.752',-0.240,-0.130,0.070,0.240
'0:00.754',-0.240,-0.110,0.070,0.240
'0:00.756',-0.240,-0.110,0.070,0.250
'0:00.758',-0.230,-0.120,0.060,0.230
'0:00.760',-0.210,-0.140,0.050,0.210
'0:00.762',-0.180,-0.140,0.040,0.200
'0:00.764',-0.160,-0.130,0.040,0.190
'0:00.766',-0.160,-0.110,0.050,0.170
'0:00.768',-0.170,-0.090,0.070,0.180
'0:00.770',-0.170,-0.080,0.070,0.190
'0:00.772',-0.160,-0.080,0.070,0.190
'0:00.774',-0.160,-0.100,0.060,0.190
'0:00.776',-0.150,-0.120,0.060,0.170
'0:00.778',-0.130,-0.130,0.050,0.170
'0:00.780',-0.120,-0.120,0.040,0.170
'0:00.782',-0.130,-0.090,0.050,0.170
'0:00.784',-0.120,-0.060,0.060,0.170
'0:00.786',-0.100,-0.060,0.070,0.170
'0:00.788',-0.090,-0.060,0.060,0.180
'0:00.790',-0.080,-0.070,0.060,0.190
'0:00.792',-0.080,-0.080,0.050,0.180
'0:00.794',-0.080,-0.090,0.050,0.170
'0:00.796',-0.090,-0.060,0.070,0.180
'0:00.798',-0.090,-0.020,0.070,0.210
'0:00.800',-0.090,0.000,0.070,0.210
'0:00.802',-0.090,-0.010,0.070,0.210
'0:00.804',-0.090,-0.010,0.070,0.220
'0:00.806',-0.080,-0.020,0.070,0.220
'0:00.808',-0.080,-0.030,0.080,0.220
'0:00.810',-0.070,-0.050,0.100,0.240
'0:00.812',-0.070,-0.050,0.110,0.260
'0:00.814',-0.060,-0.040,0.100,0.270
'0:00.816',-0.060,-0.030,0.100,0.280
'0:00.818',-0.060,-0.020,0.100,0.280
'0:00.820',-0.060,-0.020,0.100,0.280
'0:00.822',-0.040,-0.020,0.100,0.280
'0:00.824',-0.040,-0.020,0.100,0.280
'0:00.826',-0.040,-0.010,0.100,0.270
'0:00.828',-0.030,-0.020,0.090,0.260
'0:00.830',-0.020,-0.020,0.080,0.250
'0:00.832',-0.010,-0.010,0.080,0.240
'0:00.834',0.000,0.000,0.080,0.250
'0:00.836',0.000,0.000,0.080,0.250
'0:00.838',-0.020,0.010,0.090,0.280
'0:00.840',-0.030,0.030,0.100,0.300
'0:00.842',-0.020,0.040,0.080,0.280
'0:00.844',-0.010,0.040,0.070,0.260
'0:00.846',0.000,0.040,0.070,0.250
'0:00.848',0.010,0.030,0.080,0.240
'0:00.850',0.020,0.040,0.100,0.240
'0:00.852',0.020,0.060,0.120,0.260
'0:00.854',0.010,0.080,0.130,0.280
'0:00.856',0.020,0.070,0.130,0.290
'0:00.858',0.030,0.040,0.110,0.290
'0:00.860',0.030,0.030,0.100,0.270
'0:00.862',0.030,0.020,0.090,0.260
'0:00.864',0.040,0.030,0.100,0.260
'0:00.866',0.050,0.060,0.110,0.270
'0:00.868',0.050,0.080,0.110,0.290
'0:00.870',0.060,0.080,0.110,0.300
'0:00.872',0.060,0.070,0.100,0.300
'0:00.874',0.060,0.060,0.090,0.280
'0:00.876',0.060,0.040,0.080,0.260
'0:00.878',0.060,0.030,0.080,0.250
'0:00.880',0.030,0.060,0.090,0.260
'0:00.882',0.020,0.090,0.110,0.270
'0:00.884',0.020,0.090,0.110,0.260
'0:00.886',0.020,0.090,0.100,0.250
'0:00.888',0.030,0.080,0.090,0.240
'0:00.890',0.040,0.070,0.080,0.240
'0:00.892',0.030,0.040,0.060,0.220
'0:00.894',0.020,0.030,0.070,0.220
'0:00.896',0.010,0.050,0.090,0.240
'0:00.898',0.040,0.060,0.090,0.230
'0:00.900',0.050,0.070,0.080,0.230
'0:00.902',0.060,0.080,0.070,0.230
'0:00.904',0.060,0.080,0.060,0.230
'0:00.906',0.070,0.070,0.050,0.230
'0:00.908',0.060,0.070,0.050,0.220
'0:00.910',0.070,0.070,0.050,0.210
'0:00.912',0.070,0.060,0.040,0.210
'0:00.914',0.080,0.050,0.030,0.220
'0:00.916',0.080,0.060,0.030,0.220
'0:00.918',0.080,0.060,0.050,0.220
'0:00.920',0.090,0.080,0.050,0.210
'0:00.922',0.080,0.090,0.060,0.220
'0:00.924',0.060,0.110,0.080,0.230
'0:00.926',0.070,0.090,0.080,0.210
'0:00.928',0.080,0.080,0.070,0.210
'0:00.930',0.090,0.060,0.040,0.200
'0:00.932',0.090,0.060,0.020,0.190
'0:00.934',0.090,0.080,0.020,0.190
'0:00.936',0.090,0.090,0.030,0.220
'0:00.938',0.060,0.110,0.050,0.250
'0:00.940',0.050,0.090,0.040,0.250
'0:00.942',0.050,0.060,0.030,0.230
'0:00.944',0.040,0.040,0.030,0.220
'0:00.946',0.040,0.020,0.020,0.220
'0:00.948',0.040,0.010,0.010,0.210
'0:00.950',0.020,0.030,0.020,0.210
'0:00.952',0.000,0.060,0.020,0.220
'0:00.954',0.000,0.050,0.020,0.220
'0:00.956',-0.010,0.020,0.020,0.210
'0:00.958',-0.010,0.000,0.000,0.200
'0:00.960',0.000,-0.020,-0.010,0.180
'0:00.962',0.000,-0.030,-0.010,0.180
'0:00.964',-0.010,-0.010,0.000,0.210
'0:00.966',-0.040,0.020,0.030,0.260
'0:00.968',-0.050,0.030,0.030,0.250
'0:00.970',-0.040,0.030,0.010,0.240
'0:00.972',-0.040,0.000,0.000,0.230
'0:00.974',-0.030,-0.030,0.000,0.220
'0:00.976',-0.040,-0.060,0.010,0.200
'0:00.978',-0.050,-0.040,0.020,0.210
'0:00.980',-0.070,0.000,0.040,0.240
'0:00.982',-0.040,0.000,0.050,0.230
'0:00.984',-0.030,0.000,0.050,0.220
'0:00.986',-0.030,0.000,0.060,0.230
'0:00.988',-0.040,0.000,0.070,0.240
'0:00.990',-0.040,-0.010,0.060,0.220
'0:00.992',-0.050,-0.010,0.050,0.210
'0:00.994',-0.040,0.000,0.060,0.200
'0:00.996',-0.010,0.000,0.060,0.180
'0:00.998',0.010,-0.010,0.070,0.160
'0:01.000',0.020,0.000,0.070,0.150
'0:01.002',0.030,0.010,0.080,0.140
'0:01.004',0.030,0.010,0.080,0.130
'0:01.006',0.040,0.010,0.080,0.140
'0:01.008',0.030,0.020,0.090,0.160
'0:01.010',0.030,0.010,0.090,0.150
'0:01.012',0.030,0.010,0.070,0.130
'0:01.014',0.050,0.000,0.050,0.110
'0:01.016',0.070,0.000,0.040,0.090
'0:01.018',0.070,0.000,0.030,0.090
'0:01.020',0.060,0.010,0.040,0.100
'0:01.022',0.050,0.030,0.030,0.130
'0:01.024',0.070,0.010,0.010,0.110
'0:01.026',0.090,0.000,0.000,0.080
'0:01.028',0.090,-0.010,0.000,0.070
'0:01.030',0.090,-0.010,0.010,0.060
'0:01.032',0.100,0.000,0.010,0.040
'0:01.034',0.090,0.000,0.010,0.030
'0:01.036',0.080,0.040,0.020,0.040
'0:01.038',0.090,0.060,0.020,0.050
'0:01.040',0.130,0.040,0.000,0.030
'0:01.042',0.120,0.010,0.000,0.010
'0:01.044',0.110,0.010,-0.010,0.000
'0:01.046',0.110,0.010,0.000,0.000
'0:01.048',0.130,0.030,0.010,0.010
'0:01.050',0.120,0.070,0.040,0.040
'0:01.052',0.100,0.090,0.050,0.070
'0:01.054',0.100,0.090,0.050,0.060
'0:01.056',0.120,0.060,0.020,0.030
'0:01.058',0.130,0.040,-0.010,0.010
'0:01.060',0.120,0.020,-0.040,-0.010
'0:01.062',0.120,0.010,-0.080,-0.030
'0:01.064',0.120,0.020,-0.120,-0.050
'0:01.066',0.140,0.010,-0.170,-0.110
'0:01.068',0.170,0.000,-0.240,-0.170
'0:01.070',0.190,-0.010,-0.240,-0.180
'0:01.072',0.200,-0.010,-0.170,-0.160
'0:01.074',0.210,0.050,-0.010,-0.080
'0:01.076',0.210,0.170,0.230,0.060
'0:01.078',0.210,0.360,0.550,0.280
'0:01.080',0.270,0.640,0.960,0.500
'0:01.082',0.390,0.990,1.430,0.730
'0:01.084',0.520,1.390,1.950,0.990
'0:01.086',0.640,1.800,2.490,1.280
'0:01.088',0.760,2.220,3.050,1.580
'0:01.090',0.870,2.660,3.600,1.890
'0:01.092',0.960,3.110,4.150,2.190
'0:01.094',1.060,3.490,4.630,2.440
'0:01.096',1.140,3.790,4.970,2.620
'0:01.098',1.180,3.970,5.150,2.710
'0:01.100',1.170,4.010,5.160,2.740
'0:01.102',1.080,3.910,5.020,2.720
'0:01.104',0.890,3.600,4.640,2.600
'0:01.106',0.630,3.080,4.040,2.370
'0:01.108',0.360,2.420,3.310,2.050
'0:01.110',0.140,1.810,2.620,1.730
'0:01.112',0.000,1.330,2.010,1.420
'0:01.114',-0.080,0.950,1.480,1.120
'0:01.116',-0.110,0.650,1.030,0.830
'0:01.118',-0.130,0.400,0.650,0.590
'0:01.120',-0.150,0.210,0.310,0.390
'0:01.122',-0.150,0.020,0.020,0.200
'0:01.124',-0.150,-0.140,-0.210,0.020
'0:01.126',-0.130,-0.260,-0.410,-0.130
'0:01.128',-0.120,-0.370,-0.580,-0.240
'0:01.130',-0.110,-0.460,-0.710,-0.330
'0:01.132',-0.100,-0.520,-0.810,-0.390
'0:01.134',-0.110,-0.530,-0.870,-0.440
'0:01.136',-0.110,-0.560,-0.920,-0.480
'0:01.138',-0.090,-0.600,-0.960,-0.520
'0:01.140',-0.080,-0.630,-1.010,-0.560
'0:01.142',-0.080,-0.650,-1.050,-0.600
'0:01.144',-0.060,-0.680,-1.070,-0.630
'0:01.146',-0.050,-0.670,-1.070,-0.630
'0:01.148',-0.030,-0.640,-1.060,-0.620
'0:01.150',-0.020,-0.610,-1.050,-0.620
'0:01.152',-0.020,-0.600,-1.030,-0.630
'0:01.154',-0.010,-0.610,-1.040,-0.650
'0:01.156',0.000,-0.630,-1.030,-0.670
'0:01.158',0.000,-0.640,-1.030,-0.690
'0:01.160',0.000,-0.640,-1.020,-0.710
'0:01.162',0.000,-0.620,-1.000,-0.700
'0:01.164',0.000,-0.590,-0.980,-0.690
'0:01.166',0.020,-0.560,-0.980,-0.700
'0:01.168',0.030,-0.540,-0.970,-0.700
'0:01.170',0.030,-0.540,-0.950,-0.700
'0:01.172',0.030,-0.530,-0.940,-0.720
'0:01.174',0.040,-0.540,-0.940,-0.720
'0:01.176',0.020,-0.510,-0.910,-0.690
'0:01.178',0.020,-0.490,-0.890,-0.680
'0:01.180',0.040,-0.480,-0.880,-0.690
'0:01.182',0.050,-0.470,-0.870,-0.700
'0:01.184',0.040,-0.460,-0.860,-0.700
'0:01.186',0.050,-0.460,-0.860,-0.700
'0:01.188',0.040,-0.450,-0.840,-0.690
'0:01.190',0.030,-0.440,-0.820,-0.680
'0:01.192',0.030,-0.440,-0.810,-0.690
'0:01.194',0.040,-0.450,-0.800,-0.700
'0:01.196',0.060,-0.450,-0.790,-0.700
'0:01.198',0.080,-0.430,-0.770,-0.690
'0:01.200',0.080,-0.400,-0.760,-0.680
'0:01.202',0.070,-0.370,-0.740,-0.660
'0:01.204',0.040,-0.340,-0.730,-0.620
'0:01.206',0.030,-0.330,-0.720,-0.600
'0:01.208',0.020,-0.340,-0.720,-0.620
'0:01.210',0.000,-0.340,-0.720,-0.640
'0:01.212',0.000,-0.340,-0.720,-0.650
'0:01.214',0.000,-0.330,-0.700,-0.650
'0:01.216',0.010,-0.310,-0.690,-0.650
'0:01.218',0.000,-0.280,-0.660,-0.630
'0:01.220',0.000,-0.270,-0.660,-0.620
'0:01.222',0.000,-0.270,-0.660,-0.630
'0:01.224',0.010,-0.290,-0.670,-0.650
'0:01.226',0.010,-0.300,-0.680,-0.680
'0:01.228',0.020,-0.320,-0.680,-0.680
'0:01.230',0.020,-0.310,-0.680,-0.680
'0:01.232',0.020,-0.270,-0.670,-0.660
'0:01.234',0.030,-0.240,-0.670,-0.650
'0:01.236',0.050,-0.240,-0.650,-0.660
'0:01.238',0.060,-0.240,-0.640,-0.690
'0:01.240',0.090,-0.260,-0.640,-0.700
'0:01.242',0.110,-0.260,-0.650,-0.710
'0:01.244',0.140,-0.260,-0.660,-0.730
'0:01.246',0.150,-0.240,-0.640,-0.710
'0:01.248',0.160,-0.210,-0.610,-0.710
'0:01.250',0.180,-0.190,-0.610,-0.720
'0:01.252',0.200,-0.160,-0.610,-0.730
'0:01.254',0.230,-0.150,-0.610,-0.740
'0:01.256',0.240,-0.160,-0.610,-0.760
'0:01.258',0.240,-0.170,-0.610,-0.780
'0:01.260',0.240,-0.150,-0.610,-0.780
'0:01.262',0.250,-0.130,-0.600,-0.770
'0:01.264',0.280,-0.110,-0.590,-0.780
'0:01.266',0.300,-0.100,-0.580,-0.790
'0:01.268',0.320,-0.090,-0.570,-0.800
'0:01.270',0.350,-0.080,-0.570,-0.810
'0:01.272',0.350,-0.090,-0.570,-0.820
'0:01.274',0.330,-0.070,-0.570,-0.800
'0:01.276',0.320,-0.050,-0.560,-0.800
'0:01.278',0.320,-0.050,-0.560,-0.820
'0:01.280',0.340,-0.050,-0.550,-0.820
'0:01.282',0.360,-0.030,-0.550,-0.830
'0:01.284',0.370,-0.030,-0.540,-0.830
'0:01.286',0.370,-0.040,-0.540,-0.820
'0:01.288',0.370,-0.040,-0.520,-0.790
'0:01.290',0.370,-0.040,-0.500,-0.770
'0:01.292',0.370,-0.040,-0.500,-0.780
'0:01.294',0.370,-0.060,-0.500,-0.790
'0:01.296',0.360,-0.070,-0.500,-0.790
'0:01.298',0.350,-0.080,-0.500,-0.790
'0:01.300',0.330,-0.070,-0.490,-0.780
'0:01.302',0.310,-0.070,-0.470,-0.750
'0:01.304',0.290,-0.060,-0.460,-0.710
'0:01.306',0.270,-0.080,-0.470,-0.690
'0:01.308',0.240,-0.110,-0.480,-0.680
'0:01.310',0.220,-0.130,-0.480,-0.680
'0:01.312',0.200,-0.140,-0.470,-0.660
'0:01.314',0.180,-0.150,-0.450,-0.630
'0:01.316',0.140,-0.120,-0.440,-0.580
'0:01.318',0.110,-0.110,-0.410,-0.530
'0:01.320',0.080,-0.110,-0.390,-0.510
'0:01.322',0.040,-0.130,-0.360,-0.480
'0:01.324',0.020,-0.150,-0.350,-0.450
'0:01.326',0.000,-0.160,-0.320,-0.420
'0:01.328',-0.010,-0.170,-0.290,-0.380
'0:01.330',-0.040,-0.150,-0.250,-0.310
'0:01.332',-0.060,-0.110,-0.200,-0.260
'0:01.334',-0.080,-0.100,-0.170,-0.220
'0:01.336',-0.110,-0.100,-0.150,-0.180
'0:01.338',-0.140,-0.120,-0.120,-0.150
'0:01.340',-0.170,-0.160,-0.100,-0.130
'0:01.342',-0.190,-0.190,-0.080,-0.110
'0:01.344',-0.220,-0.190,-0.040,-0.060
'0:01.346',-0.240,-0.160,-0.010,0.000
'0:01.348',-0.250,-0.150,0.000,0.010
'0:01.350',-0.260,-0.130,0.020,0.020
'0:01.352',-0.280,-0.130,0.020,0.040
'0:01.354',-0.280,-0.120,0.030,0.050
'0:01.356',-0.270,-0.140,0.040,0.070
'0:01.358',-0.290,-0.150,0.060,0.100
'0:01.360',-0.300,-0.160,0.070,0.130
'0:01.362',-0.290,-0.160,0.090,0.130
'0:01.364',-0.270,-0.140,0.100,0.130
'0:01.366',-0.270,-0.130,0.110,0.130
'0:01.368',-0.260,-0.110,0.130,0.130
'0:01.370',-0.260,-0.090,0.150,0.130
'0:01.372',-0.270,-0.060,0.160,0.130
'0:01.374',-0.280,-0.050,0.150,0.150
'0:01.376',-0.290,-0.070,0.130,0.150
'0:01.378',-0.290,-0.070,0.120,0.140
'0:01.380',-0.290,-0.070,0.120,0.140
'0:01.382',-0.290,-0.070,0.120,0.130
'0:01.384',-0.290,-0.050,0.110,0.130
'0:01.386',-0.290,-0.030,0.120,0.150
'0:01.388',-0.290,-0.020,0.120,0.160
'0:01.390',-0.280,-0.030,0.110,0.150
'0:01.392',-0.280,-0.050,0.090,0.130
'0:01.394',-0.260,-0.070,0.070,0.120
'0:01.396',-0.240,-0.080,0.050,0.120
'0:01.398',-0.220,-0.070,0.050,0.120
'0:01.400',-0.230,-0.030,0.060,0.140
'0:01.402',-0.230,0.000,0.080,0.160
'0:01.404',-0.210,0.000,0.080,0.150
'0:01.406',-0.200,0.000,0.070,0.140
'0:01.408',-0.200,-0.010,0.050,0.130
'0:01.410',-0.200,-0.020,0.040,0.100
'0:01.412',-0.190,-0.030,0.040,0.100
'0:01.414',-0.170,-0.020,0.040,0.120
'0:01.416',-0.170,0.000,0.050,0.130
'0:01.418',-0.160,0.010,0.060,0.130
'0:01.420',-0.150,0.020,0.060,0.130
'0:01.422',-0.140,0.010,0.060,0.110
'0:01.424',-0.130,-0.010,0.050,0.110
'0:01.426',-0.140,-0.030,0.050,0.100
'0:01.428',-0.130,-0.020,0.060,0.110
'0:01.430',-0.130,0.000,0.080,0.120
'0:01.432',-0.120,0.010,0.080,0.120
'0:01.434',-0.120,0.010,0.070,0.120
'0:01.436',-0.120,0.020,0.070,0.110
'0:01.438',-0.100,0.010,0.060,0.100
'0:01.440',-0.090,-0.010,0.040,0.100
'0:01.442',-0.090,-0.010,0.040,0.120
'0:01.444',-0.090,0.000,0.050,0.130
'0:01.446',-0.070,0.000,0.060,0.130
'0:01.448',-0.050,0.030,0.070,0.110
'0:01.450',-0.040,0.040,0.070,0.100
'0:01.452',-0.040,0.040,0.070,0.110
'0:01.454',-0.020,0.050,0.070,0.120
'0:01.456',-0.020,0.060,0.080,0.150
'0:01.458',-0.030,0.070,0.080,0.150
